path,filename,participant,statement,confidence_level,confidence_type,accuracy,free_cued_recall
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s08.wav,'S2_w31_t1_s08.wav',31,8.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s25.wav,'S2_w31_t1_s25.wav',31,25.0,60.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s32.wav,'S2_w31_t1_s32.wav',31,32.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s37.wav,'S2_w31_t1_s37.wav',31,37.0,,,0,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s23.wav,'S2_w31_t1_s23.wav',31,23.0,,,0,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s51.wav,'S2_w31_t1_s51.wav',31,51.0,,,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s56.wav,'S2_w31_t1_s56.wav',31,56.0,,,0,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s62.wav,'S2_w31_t1_s62.wav',31,62.0,80.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s30.wav,'S2_w31_t1_s30.wav',31,30.0,60.0,1.0,0,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s04.wav,'S2_w31_t1_s04.wav',31,4.0,80.0,1.0,1,1
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s22.wav,'S2_w31_t1_s22.wav',31,22.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s10.wav,'S2_w31_t1_s10.wav',31,10.0,100.0,1.0,1,2
/home/tim/Downloads/klippta_ljudfiler/w31_t01/S2_w31_t1_s21.wav,'S2_w31_t1_s21.wav',31,21.0,,,0,2
