F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,filename,study,statement,session,participant,accuracy,confidence_level,confidence_type,free_cued_recall
33.20745,0.18811668,33.557415,35.970253,37.030464,3.4730492,233.49374,237.09804,66.67075,32.87154,0.20453088,0.31522593,0.15747882,0.16582157,0.2592565,0.10177769,1.4036318,1.0191733,1.1551594,0.6042539,0.23221926,0.086689964,14.9836445,0.4371041,14.107459,0.38829628,11.981942,0.5008845,11.268585,0.40030146,0.039083496,0.69527197,1.3618686,0.3264473,3.4306767,1.4529183,-4.20862,-8.380649,8.084872,4.190215,400.12177,0.24491268,1219.4099,0.13170166,-167.5521,-0.4180381,1490.5841,0.09821059,884.0858,0.17415507,-154.91426,-0.47953135,2477.1372,0.060104806,949.1239,0.3132081,-156.14868,-0.46164033,-19.810997,-0.16189826,30.474771,0.10347791,-0.032377537,-0.7080641,-0.016005121,-0.3782497,0.24875662,0.072911166,22.740746,0.17199573,16.624699,0.3019205,14.080711,0.6458794,10.642843,0.5624689,-19.56905,30.990778,-0.05993515,-0.0073990147,0.22698988,2.6373627,1.7777778,0.1375,0.12497499,0.4025,0.47767013,-44.17079,'S2_w36_t1_s74.wav',1000,74.0,1000,36,0,20.0,1.0,2
31.973427,0.17232293,24.031258,33.894035,36.294712,12.263454,36.486237,7.2474203,21.827389,19.075117,0.35389304,0.7467282,0.16012256,0.22988106,0.4687214,0.30859882,4.353832,3.5877457,3.5866838,2.0947518,0.28593913,0.5372643,17.035349,0.57361853,10.764695,0.68625665,8.156,1.1730889,3.1467223,4.3317137,0.027704144,1.408276,1.0674353,0.56902045,4.6575785,0.89376533,7.357459,1.2134098,25.999912,0.29332232,482.4624,0.27347815,1312.5792,0.18360887,-119.31144,-0.8208618,1531.8733,0.114707455,968.8766,0.38612175,-117.28086,-0.777002,2628.2605,0.09166049,893.64185,0.4857812,-121.37922,-0.7136579,-15.371047,-0.34974003,26.277073,0.21759464,0.015846293,2.1596851,-0.022369962,-0.55905694,0.36507457,0.5594686,25.781921,0.22781524,9.581537,0.93646485,5.4189477,2.4322035,-7.030118,-2.0103707,-18.028421,29.211422,-0.053446643,-0.0055847405,0.22411618,1.5659956,1.1363636,0.38599998,0.28639832,0.39333332,0.48078638,-36.655407,'S2_w21_t1_s33.wav',1000,33.0,1000,21,1,80.0,1.0,2
23.677464,0.12955292,22.237234,23.01353,25.102104,2.86487,145.57222,159.3935,13.899495,43.20791,0.342685,0.50127167,0.17151338,0.31474382,0.48151338,0.31,3.0956244,2.225677,2.1743062,1.1636088,0.26455057,0.347111,21.141102,0.41153622,10.006725,0.70214486,7.248584,1.3590428,1.4459549,8.419043,0.03240026,0.99896955,1.5384773,0.5784244,-1.9116023,-1.703431,4.16281,2.2626328,22.172213,0.3660416,475.52505,0.33459288,1255.9833,0.14380011,-143.83475,-0.6086345,1443.1572,0.18871014,982.0029,0.2522616,-145.87875,-0.5699197,2504.2065,0.11509206,774.5135,0.31006306,-147.95198,-0.54002404,-15.358081,-0.32319933,24.410664,0.242702,0.0040224744,7.204087,-0.023585934,-0.55837864,0.33478191,0.38044378,28.337795,0.19809575,7.5263686,1.1457732,3.9325814,2.8081243,-4.9555807,-2.4608905,-16.072123,26.541058,-0.03405719,-0.011752657,0.23512574,2.862099,2.1872268,0.121199995,0.11406383,0.3152,0.31139836,-39.49104,'S2_w34_t1_s22.wav',1000,22.0,1000,34,1,60.0,1.0,2
33.611103,0.09098989,33.551422,34.227577,34.913113,1.3616905,123.93722,74.90742,47.01048,56.9941,0.4537834,0.5611795,0.17678647,0.44311166,0.627138,0.45035154,3.5026305,1.8125743,3.208834,1.472438,0.25500262,0.43900916,18.969666,0.6154514,8.998235,0.89403075,12.453309,0.8274699,-5.6049795,-2.3620265,0.032998938,1.7269834,1.2680465,0.56862634,5.9402537,0.60378605,7.5042305,1.8854914,26.50751,0.30024835,420.13217,0.2334726,1162.8413,0.17389205,-86.38454,-1.1490148,1447.4382,0.14735718,887.0252,0.37097508,-94.13385,-0.94710666,2441.1768,0.08932087,790.6636,0.4195121,-97.19559,-0.88850564,-16.489958,-0.32549885,24.806356,0.22879654,0.017886829,1.1930699,-0.024704617,-0.47599986,0.31035084,0.2913364,26.955994,0.21864977,9.538649,0.9840954,10.167355,1.1415973,-11.14098,-1.0639917,-14.047822,23.830992,-0.05302839,-0.007323405,0.18708172,2.714932,1.388889,0.41,0.340294,0.28333333,0.28122744,-35.231564,'S2_w44_t1_s76.wav',1000,76.0,1000,44,1,100.0,2.0,2
31.76667,0.110005625,31.128075,31.51156,33.566906,2.4388313,31.893764,36.00795,941.3208,1058.4086,0.25978684,0.58165246,0.1540366,0.16348301,0.38636988,0.23233329,2.4975317,1.8549006,1.5947976,0.53814495,0.10809668,0.52036226,17.430225,0.36382622,9.39961,0.78726554,7.9401855,0.9015779,4.726084,2.5050905,0.020864615,1.1875372,1.2881101,0.54312265,3.657399,0.9978171,-1.2050909,-12.594765,17.193224,0.90679705,450.48724,0.25746822,1108.1687,0.1836699,-142.41048,-0.6368646,1427.6549,0.15625496,872.5768,0.32557142,-142.4325,-0.6061798,2485.2073,0.076054715,702.7725,0.22817561,-144.10944,-0.5816542,-13.003299,-0.3015733,21.027279,0.25773504,-0.013891596,-1.3514022,-0.027463274,-0.3830833,0.17005837,0.32942435,24.765232,0.19262388,1.9465159,4.836531,4.717252,2.1660538,-9.199075,-1.1341534,-20.533144,31.979195,-0.07120312,-0.007612024,0.082486235,1.7660046,1.5625,0.18428572,0.13978118,0.38,0.58944887,-42.96991,'S2_w08_t1_s58.wav',1000,58.0,1000,8,1,80.0,1.0,2
32.923183,0.033204578,32.044086,32.676346,33.6934,1.6493149,19.743969,11.84216,15.90534,8.124936,0.5380397,0.30847853,0.40823406,0.5613905,0.6567339,0.24849981,4.6750236,3.2405863,3.0677009,1.5509366,0.2400788,0.45374802,22.446487,0.5461434,8.201177,0.92444867,1.1718869,6.843656,1.7789674,5.166348,0.014697624,0.9782042,1.247294,0.55469316,4.9586635,0.7738081,10.772303,0.62972534,28.748606,0.29945686,481.93698,0.36151436,1315.8724,0.14303616,-60.050014,-1.4813683,1471.8375,0.1543784,1024.7012,0.281419,-64.94988,-1.237538,2546.3147,0.08119956,974.3772,0.34703556,-71.91306,-1.0532503,-13.630088,-0.3383046,26.340582,0.29263133,0.0020448584,8.16062,-0.015327654,-0.69294703,0.26970458,0.3660794,27.44685,0.29466894,5.5596523,1.1818055,0.16766445,47.67039,-1.6986092,-4.603405,-12.24981,21.459064,-0.025992414,-0.012741433,0.19066757,5.5555553,2.5477707,0.2725,0.3177558,0.095,0.04924429,-35.836853,'S2_w39_t1_s04.wav',1000,4.0,1000,39,1,100.0,1.0,1
28.683756,0.06555306,27.292784,28.07785,29.954433,2.6616497,79.81399,91.978134,45.33085,71.60891,0.36943638,0.46821424,0.1711991,0.36350116,0.5320541,0.36085504,2.3335562,0.9083655,2.2411094,0.9420665,0.20622219,0.34789765,19.891056,0.55808306,8.9796295,0.86793816,3.282293,2.522423,6.7832456,1.3303746,0.025665384,2.2575927,1.135564,0.4759243,3.0817018,1.0289263,1.1879072,6.547271,25.073177,0.3217366,448.30518,0.28104493,1185.3226,0.1253793,-94.61114,-1.0512409,1431.7235,0.12203175,926.79626,0.23499426,-99.76697,-0.9279048,2467.3594,0.093799844,971.21063,0.30390272,-105.26747,-0.83009106,-14.43068,-0.40983674,27.341248,0.22194357,0.003234481,8.985718,-0.014924923,-0.86335945,0.25804293,0.2256875,27.815355,0.2282439,7.7982483,1.037496,1.0469898,8.339425,2.3738482,3.861322,-15.792502,27.962234,-0.06287155,-0.0031958977,0.15033022,3.1634445,1.5957447,0.32333332,0.36417332,0.2811111,0.3803345,-38.474583,'S2_w59_t1_s40.wav',1000,40.0,1000,59,0,40.0,2.0,2
29.764948,0.24128845,27.121803,28.422508,34.316162,7.194359,115.98702,19.519905,75.4364,80.17547,0.51824516,0.35440564,0.3337096,0.51827705,0.66020155,0.32649195,3.869512,2.570063,1.8880153,1.202735,0.2405584,0.39163595,7.699251,1.098076,8.675519,1.2808099,16.085747,0.75949305,1.5913038,7.324881,0.06286253,0.947502,1.4658247,0.4350837,-0.2941254,-16.469973,13.416587,0.7284521,14.858587,0.7658339,492.27344,0.5990626,981.6994,0.24677846,-169.33922,-0.40247145,1646.0322,0.16316123,404.87967,0.40564203,-162.70049,-0.42456594,2615.2517,0.10406354,518.133,0.52916354,-162.0453,-0.43303353,-10.381019,-0.3288618,15.939431,0.2725323,-0.011510276,-1.8698344,-0.007051152,-1.0331085,0.3112983,0.38980457,3.5008457,1.7428329,19.781252,0.42734417,22.583323,0.46238276,11.200671,1.0321887,-8.218702,15.15961,-0.025301544,-0.006395776,0.22464454,2.967359,2.7108433,0.06666666,0.048074014,0.35714287,0.47109944,-38.546505,S2_w013_t1_s75.wav',1000,75.0,1000,13,0,100.0,1.0,2
34.04891,0.19538258,32.728226,34.257298,35.553978,2.8257523,78.2837,33.775135,1188.3593,1776.9146,0.3869097,0.46147072,0.23852362,0.3537357,0.5183039,0.27978027,4.5678663,1.8513287,1.6816831,0.98750055,0.15847251,0.5080276,16.123703,0.6570894,10.455219,0.9063274,9.499125,1.6029611,-7.4743237,-1.6631829,0.039217398,1.4915366,1.2712196,0.4759214,3.4730203,1.3335999,1.0001895,17.256927,16.941996,0.9099054,433.2451,0.14695649,1065.2101,0.18454178,-116.03989,-0.85030204,1531.2511,0.12180987,822.8619,0.54545003,-118.55663,-0.7613588,2550.982,0.062837996,852.5341,0.6229985,-119.03477,-0.74394363,-13.473914,-0.42747897,21.79176,0.3091325,-0.010137698,-2.2175326,-0.020576615,-0.42485797,0.19970171,0.49358106,19.437109,0.4192628,8.685083,1.4718912,8.764627,1.7726321,-9.313254,-1.052871,-13.698178,23.472353,-0.043058112,-0.019037576,0.1264097,2.5882354,1.4285715,0.305,0.23655513,0.3733333,0.3780946,-39.968243,'S2_w21_t1_s24.wav',1000,24.0,1000,21,1,60.0,1.0,2
24.112783,0.022107664,23.556799,24.063974,24.593325,1.0365257,5.3083844,0.0,7.682452,0.0,0.21919338,0.513338,0.15572658,0.16990206,0.25365525,0.09792867,1.2780956,1.5558904,0.6160461,0.483752,0.07077284,0.39075232,11.207259,0.41420206,7.7426324,0.73620915,9.945697,0.36203766,12.51926,0.40218854,0.012157075,1.0601933,0.90733725,0.5682554,1.5236529,1.0721823,-1.7256439,-3.347893,16.257133,0.28090698,392.42657,0.032024235,1101.8782,0.05628238,-182.65837,-0.31960627,1415.2465,0.0721498,821.95483,0.11057387,-183.54753,-0.30326456,2342.0188,0.024559729,847.5125,0.22607584,-183.98428,-0.294359,-11.87664,-0.37508702,19.939655,0.20018466,-0.017143195,-0.5804719,-0.017906716,-0.2507689,0.1255629,0.30272517,20.195827,0.17238575,6.2390556,1.9539361,6.9208574,0.84687525,2.026379,2.2473047,-17.807774,28.392464,-0.07225868,-0.0037712124,0.06575483,1.3089006,0.265252,0.32,0.0,1.7099999,1.16,-45.494774,'S2_w07_t1_s31.wav',1000,31.0,1000,7,1,40.0,1.0,2
