,filename,study,statement,session,participant,accuracy,confidence_level,confidence_type,free_cued_recall
0,'S2_w46_t1_s01.wav',1000,1.0,1000,46,1,100.0,1.0,1
1,'S2_w46_t1_s10.wav',1000,10.0,1000,46,1,100.0,1.0,2
2,'S2_w46_t1_s11.wav',1000,11.0,1000,46,1,,,2
3,'S2_w46_t1_s12.wav',1000,12.0,1000,46,1,100.0,2.0,2
4,'S2_w46_t1_s14.wav',1000,14.0,1000,46,1,60.0,1.0,2
5,'S2_w46_t1_s15.wav',1000,15.0,1000,46,0,100.0,1.0,2
6,'S2_w46_t1_s17.wav',1000,17.0,1000,46,1,100.0,1.0,2
7,'S2_w46_t1_s18.wav',1000,18.0,1000,46,1,,,2
8,'S2_w46_t1_s19.wav',1000,19.0,1000,46,1,,,2
9,'S2_w46_t1_s02.wav',1000,2.0,1000,46,1,100.0,1.0,1
10,'S2_w46_t1_s20.wav',1000,20.0,1000,46,1,100.0,2.0,2
11,'S2_w46_t1_s21.wav',1000,21.0,1000,46,1,100.0,1.0,2
12,'S2_w46_t1_s22.wav',1000,22.0,1000,46,1,100.0,2.0,2
13,'S2_w46_t1_s22.5.wav',1000,22.5,1000,46,1,100.0,2.0,2
14,'S2_w46_t1_s23.wav',1000,23.0,1000,46,0,100.0,1.0,2
15,'S2_w46_t1_s25.wav',1000,25.0,1000,46,1,100.0,1.0,2
16,'S2_w46_t1_s26.wav',1000,26.0,1000,46,1,100.0,1.0,2
17,'S2_w46_t1_s27.wav',1000,27.0,1000,46,0,100.0,1.0,2
18,'S2_w46_t1_s28.wav',1000,28.0,1000,46,0,80.0,1.0,2
19,'S2_w46_t1_s29.wav',1000,29.0,1000,46,1,100.0,1.0,2
20,'S2_w46_t1_s03.wav',1000,3.0,1000,46,1,100.0,1.0,1
21,'S2_w46_t1_s30.wav',1000,30.0,1000,46,1,100.0,2.0,2
22,'S2_w46_t1_s31.wav',1000,31.0,1000,46,1,100.0,1.0,2
23,'S2_w46_t1_s32.wav',1000,32.0,1000,46,1,100.0,1.0,2
24,'S2_w46_t1_s33.wav',1000,33.0,1000,46,1,,,2
25,'S2_w46_t1_s34.wav',1000,34.0,1000,46,1,100.0,1.0,2
26,'S2_w46_t1_s35.wav',1000,35.0,1000,46,0,100.0,1.0,2
27,'S2_w46_t1_s36.wav',1000,36.0,1000,46,1,100.0,1.0,2
28,'S2_w46_t1_s37.wav',1000,37.0,1000,46,1,100.0,1.0,2
29,'S2_w46_t1_s38.wav',1000,38.0,1000,46,1,100.0,1.0,2
30,'S2_w46_t1_s39.wav',1000,39.0,1000,46,1,80.0,1.0,2
31,'S2_w46_t1_s04.wav',1000,4.0,1000,46,1,,,1
32,'S2_w46_t1_s40.wav',1000,40.0,1000,46,1,80.0,2.0,2
33,'S2_w46_t1_s41.wav',1000,41.0,1000,46,1,100.0,1.0,2
34,'S2_w46_t1_s42.wav',1000,42.0,1000,46,1,,,2
35,'S2_w46_t1_s43.wav',1000,43.0,1000,46,1,,,2
